id,property_id,source,source_id,category,occurred_at,summary,data,created_at,evidence_status,occurred_at_end,date_precision,sensitivity,rights
1,1118,baltimore:public_spending,4070A001:unknown:0,public_investment,2026-04-07 03:32:43 -0400,Public investment,"{""FY"":2018,""HMT"":""I"",""INFO"":""Final/Full Demo Complete"",""Name"":""Better Waverly"",""Time"":1530403200000,""Market"":""Weaker Markets"",""ADDRESS"":""2565  GREENMOUNT AVE"",""Dollars"":49309.11,""PROJECT"":""Full Demolition"",""BLOCKLOT"":""4070A001"",""CATEGORY"":""DEMOLITIONS"",""OBJECTID"":4500,""Collapsed"":""Demolition"",""StateOrCity"":""City and State"",""CouncilDistrict"":14,""TotalProjectCost"":49309.11,""subjects_extracted_at"":""2026-07-13T14:38:49-04:00""}",2026-04-07 00:10:20 -0400,,,,,
8,1112,baltimore:demolitions,3825 019:1576540800000,demolition,2020-09-08 20:00:00 -0400,2452 GREENMOUNT AVE — Completed 2020-09-09,"{""Lot"":""019"",""Block"":""3825"",""Address"":""2452 GREENMOUNT AVE"",""BLOCKLOT"":""3825 019"",""OBJECTID"":114042,""CorePhase"":""4"",""DateUpdate"":null,""DateStarted"":1576540800000,""GroupStatus"":""Final/Full Demo Complete"",""ID_Decision"":47,""ID_Demo_RFA"":3075,""Neighborhood"":""Barclay"",""Deconstruction"":null,""Council_District"":""12"",""DateDemoFinished"":1599609600000,""ProjectedQuarter"":""Q1"",""SimplifiedStatus"":""Demo Complete"",""ID_PropertyStatus"":null,""ProjectedFiscalYear"":""FY19"",""ReleasedToContractor"":1535673600000,""HousingMarketTypology2017"":""G""}",2026-04-14 03:44:10 -0400,,,,,
9,1096,baltimore:demolitions,3836A053:1381881600000,demolition,2014-03-11 20:00:00 -0400,454 E LORRAINE AVE — Completed 2014-03-12,"{""Lot"":""053"",""Block"":""3836A"",""Address"":""454 E LORRAINE AVE"",""BLOCKLOT"":""3836A053"",""OBJECTID"":116629,""CorePhase"":null,""DateUpdate"":1427292360000,""DateStarted"":1381881600000,""GroupStatus"":""Final/Full Demo Complete"",""ID_Decision"":90,""ID_Demo_RFA"":639,""Neighborhood"":""Harwood"",""Deconstruction"":null,""Council_District"":""14"",""DateDemoFinished"":1394582400000,""ProjectedQuarter"":null,""SimplifiedStatus"":""Demo Complete"",""ID_PropertyStatus"":null,""ProjectedFiscalYear"":null,""ReleasedToContractor"":null,""HousingMarketTypology2017"":""E""}",2026-04-14 03:44:10 -0400,,,,,
10,1114,baltimore:demolitions,3825 015:1576540800000,demolition,2020-09-08 20:00:00 -0400,2460 GREENMOUNT AVE — Completed 2020-09-09,"{""Lot"":""015"",""Block"":""3825"",""Address"":""2460 GREENMOUNT AVE"",""BLOCKLOT"":""3825 015"",""OBJECTID"":127816,""CorePhase"":""4"",""DateUpdate"":1520002440000,""DateStarted"":1576540800000,""GroupStatus"":""Final/Full Demo Complete"",""ID_Decision"":47,""ID_Demo_RFA"":3075,""Neighborhood"":""Barclay"",""Deconstruction"":null,""Council_District"":""12"",""DateDemoFinished"":1599609600000,""ProjectedQuarter"":""Q1"",""SimplifiedStatus"":""Demo Complete"",""ID_PropertyStatus"":null,""ProjectedFiscalYear"":""FY19"",""ReleasedToContractor"":1535673600000,""HousingMarketTypology2017"":""G""}",2026-04-14 03:44:10 -0400,,,,,
11,1113,baltimore:demolitions,3825 017:1576540800000,demolition,2020-09-08 20:00:00 -0400,2456 GREENMOUNT AVE — Completed 2020-09-09,"{""Lot"":""017"",""Block"":""3825"",""Address"":""2456 GREENMOUNT AVE"",""BLOCKLOT"":""3825 017"",""OBJECTID"":127818,""CorePhase"":""4"",""DateUpdate"":1521713280000,""DateStarted"":1576540800000,""GroupStatus"":""Final/Full Demo Complete"",""ID_Decision"":47,""ID_Demo_RFA"":3075,""Neighborhood"":""Barclay"",""Deconstruction"":null,""Council_District"":""12"",""DateDemoFinished"":1599609600000,""ProjectedQuarter"":""Q1"",""SimplifiedStatus"":""Demo Complete"",""ID_PropertyStatus"":126,""ProjectedFiscalYear"":""FY19"",""ReleasedToContractor"":1535673600000,""HousingMarketTypology2017"":""G""}",2026-04-14 03:44:10 -0400,,,,,
12,1118,baltimore:demolitions,4070A001:1505088000000,demolition,2017-09-26 20:00:00 -0400,2601 GREENMOUNT AVE — Completed 2017-09-27,"{""Lot"":""001"",""Block"":""4070A"",""Address"":""2601 GREENMOUNT AVE"",""BLOCKLOT"":""4070A001"",""OBJECTID"":148596,""CorePhase"":null,""DateUpdate"":1487194380000,""DateStarted"":1505088000000,""GroupStatus"":""Final/Full Demo Complete"",""ID_Decision"":47,""ID_Demo_RFA"":1517,""Neighborhood"":""Better Waverly"",""Deconstruction"":null,""Council_District"":""14"",""DateDemoFinished"":1506470400000,""ProjectedQuarter"":""Q2"",""SimplifiedStatus"":""Demo Complete"",""ID_PropertyStatus"":null,""ProjectedFiscalYear"":""FY18"",""ReleasedToContractor"":1500854400000,""HousingMarketTypology2017"":""J""}",2026-04-14 03:44:10 -0400,,,,,
13,663,baltimore:demolitions,4070A020:1615334400000,demolition,2021-06-06 20:00:00 -0400,2635 GREENMOUNT AVE — Completed 2021-06-07,"{""Lot"":""020"",""Block"":""4070A"",""Address"":""2635 GREENMOUNT AVE"",""BLOCKLOT"":""4070A020"",""OBJECTID"":148651,""CorePhase"":null,""DateUpdate"":1580144880000,""DateStarted"":1615334400000,""GroupStatus"":""Final/Full Demo Complete"",""ID_Decision"":124,""ID_Demo_RFA"":3966,""Neighborhood"":""Better Waverly"",""Deconstruction"":null,""Council_District"":""14"",""DateDemoFinished"":1623024000000,""ProjectedQuarter"":""Q3"",""SimplifiedStatus"":""Demo Complete"",""ID_PropertyStatus"":null,""ProjectedFiscalYear"":""FY21"",""ReleasedToContractor"":1611878400000,""HousingMarketTypology2017"":""J""}",2026-04-14 03:44:10 -0400,,,,,
14,810,baltimore:demolitions,4070A033:1665964800000,demolition,2022-11-28 19:00:00 -0500,509 E 27TH ST — Completed 2022-11-29,"{""Lot"":""033"",""Block"":""4070A"",""Address"":""509 E 27TH ST"",""BLOCKLOT"":""4070A033"",""OBJECTID"":148663,""CorePhase"":null,""DateUpdate"":1648647660000,""DateStarted"":1665964800000,""GroupStatus"":""Final/Full Demo Complete"",""ID_Decision"":47,""ID_Demo_RFA"":1546,""Neighborhood"":""Better Waverly"",""Deconstruction"":null,""Council_District"":""14"",""DateDemoFinished"":1669680000000,""ProjectedQuarter"":""Q2"",""SimplifiedStatus"":""Demo Complete"",""ID_PropertyStatus"":131,""ProjectedFiscalYear"":""FY22"",""ReleasedToContractor"":1661990400000,""HousingMarketTypology2017"":""J""}",2026-04-14 03:44:10 -0400,,,,,
15,812,baltimore:demolitions,4070A034:1665964800000,demolition,2022-11-28 19:00:00 -0500,511 E 27TH ST — Completed 2022-11-29,"{""Lot"":""034"",""Block"":""4070A"",""Address"":""511 E 27TH ST"",""BLOCKLOT"":""4070A034"",""OBJECTID"":148664,""CorePhase"":null,""DateUpdate"":1508836440000,""DateStarted"":1665964800000,""GroupStatus"":""Final/Full Demo Complete"",""ID_Decision"":47,""ID_Demo_RFA"":1546,""Neighborhood"":""Better Waverly"",""Deconstruction"":null,""Council_District"":""14"",""DateDemoFinished"":1669680000000,""ProjectedQuarter"":""Q2"",""SimplifiedStatus"":""Demo Complete"",""ID_PropertyStatus"":129,""ProjectedFiscalYear"":""FY22"",""ReleasedToContractor"":1661990400000,""HousingMarketTypology2017"":""J""}",2026-04-14 03:44:10 -0400,,,,,
16,756,baltimore:permits,BCCM-25-000233,permit,2025-03-03 19:00:00 -0500,"Kitty's Lounge — MAKE SAFE OF EXISTING BAR, INSPECT WIRING & EXIT LIGTS + INSTALL COVERS FOR OPEN ELECTRICAL BOXES","{""Cost"":null,""Address"":""3208 GREENMOUNT AVE"",""prc_lot"":""003 "",""BLOCKLOT"":""3882 003"",""OBJECTID"":142,""CaseNumber"":""BCCM-25-000233"",""IssuedDate"":1741046400000,""PermitName"":""Kitty's Lounge"",""Description"":""MAKE SAFE OF EXISTING BAR, INSPECT WIRING \u0026 EXIT LIGTS + INSTALL COVERS FOR OPEN ELECTRICAL BOXES"",""ExistingUse"":""Tavern/Bar"",""ProposedUse"":""Tavern/Bar"",""Neighborhood"":""Abell"",""csm_projname"":null,""prc_block_no"":""3882 "",""ExpirationDate"":1757116800000,""Council_District"":14,""IsPermitModification"":0,""HousingMarketTypology2017"":""B""}",2026-04-14 03:52:38 -0400,,,,,
